SensorID,Radiation,PositionX,PositionY,PositionZ
246,2.08096e-16,244.444,781.667,250.444
247,1.24566e-16,244.444,781.667,286.222
249,5.64314e-16,244.444,893.333,71.5556
250,8.80221e-10,244.444,893.333,107.333
251,6.79342e-10,244.444,893.333,143.111
252,5.8367e-10,244.444,893.333,178.889
253,7.17638e-10,244.444,893.333,214.667
254,3.65976e-16,244.444,893.333,250.444
255,4.2239e-16,244.444,893.333,286.222
257,1.78438e-17,305.556,111.667,71.5556
258,5.69467e-17,305.556,111.667,107.333
259,6.47314e-17,305.556,111.667,143.111
260,1.43039e-17,305.556,111.667,178.889
261,5.42334e-17,305.556,111.667,214.667
262,5.5256e-17,305.556,111.667,250.444
263,5.19611e-18,305.556,111.667,286.222
265,4.03273e-17,305.556,223.333,71.5556
266,6.46863e-17,305.556,223.333,107.333
267,3.37423e-17,305.556,223.333,143.111
268,7.19445e-17,305.556,223.333,178.889
269,6.03471e-17,305.556,223.333,214.667
270,5.24679e-18,305.556,223.333,250.444
271,5.88888e-17,305.556,223.333,286.222
273,3.45941e-17,305.556,335,71.5556
274,3.25901e-17,305.556,335,107.333
275,1.13856e-16,305.556,335,143.111
276,8.52674e-17,305.556,335,178.889
277,6.53409e-17,305.556,335,214.667
278,6.66325e-18,305.556,335,250.444
279,7.73437e-17,305.556,335,286.222
281,1.20109e-16,305.556,446.667,71.5556
282,1.09298e-16,305.556,446.667,107.333
283,4.69631e-17,305.556,446.667,143.111
284,4.10399e-17,305.556,446.667,178.889
285,5.5096e-17,305.556,446.667,214.667
286,1.73505e-17,305.556,446.667,250.444
287,7.45718e-17,305.556,446.667,286.222
289,1.45544e-16,305.556,558.333,71.5556
290,5.49591e-17,305.556,558.333,107.333
291,3.65206e-17,305.556,558.333,143.111
292,9.24777e-17,305.556,558.333,178.889
293,9.32394e-17,305.556,558.333,214.667
294,1.30501e-16,305.556,558.333,250.444
295,5.41725e-17,305.556,558.333,286.222
297,1.45419e-16,305.556,670,71.5556
298,1.08656e-16,305.556,670,107.333
299,1.32035e-09,305.556,670,143.111
300,1.48305e-09,305.556,670,178.889
301,1.08383e-16,305.556,670,214.667
